split,old_stem,new_stem
train,port_0001,train_port_0001
train,port_0002,train_port_0002
train,port_0003,train_port_0003
train,port_0004,train_port_0004
train,port_0005,train_port_0005
train,port_0006,train_port_0006
train,port_0007,train_port_0007
train,port_0008,train_port_0008
train,port_0009,train_port_0009
train,port_0010,train_port_0010
train,port_0011,train_port_0011
train,port_0012,train_port_0012
train,port_0013,train_port_0013
train,port_0014,train_port_0014
train,port_0015,train_port_0015
train,port_0016,train_port_0016
train,port_0017,train_port_0017
train,port_0018,train_port_0018
train,port_0019,train_port_0019
train,port_0020,train_port_0020
train,port_0021,train_port_0021
train,port_0022,train_port_0022
train,port_0023,train_port_0023
train,port_0024,train_port_0024
train,port_0025,train_port_0025
train,port_0026,train_port_0026
train,port_0027,train_port_0027
train,port_0028,train_port_0028
train,port_0029,train_port_0029
train,port_0030,train_port_0030
train,port_0031,train_port_0031
train,port_0032,train_port_0032
train,port_0033,train_port_0033
train,port_0034,train_port_0034
train,port_0035,train_port_0035
train,port_0036,train_port_0036
train,port_0037,train_port_0037
train,port_0038,train_port_0038
train,port_0039,train_port_0039
train,port_0040,train_port_0040
train,port_0041,train_port_0041
train,port_0042,train_port_0042
train,port_0043,train_port_0043
train,port_0044,train_port_0044
train,port_0045,train_port_0045
train,port_0046,train_port_0046
train,port_0047,train_port_0047
train,port_0048,train_port_0048
train,port_0049,train_port_0049
train,port_0050,train_port_0050
train,port_0051,train_port_0051
train,port_0052,train_port_0052
train,port_0053,train_port_0053
train,port_0054,train_port_0054
train,port_0055,train_port_0055
val,port_0001,val_port_0001
val,port_0002,val_port_0002
val,port_0003,val_port_0003
val,port_0004,val_port_0004
val,port_0006,val_port_0005
val,port_0009,val_port_0006
val,port_0011,val_port_0007
val,port_0012,val_port_0008
val,port_0019,val_port_0009
val,port_0021,val_port_0010
val,port_0024,val_port_0011
val,port_0026,val_port_0012
val,port_0027,val_port_0013
val,port_0028,val_port_0014
val,port_0031,val_port_0015
val,port_0035,val_port_0016
val,port_0047,val_port_0017
val,port_0048,val_port_0018
val,port_0049,val_port_0019
val,port_0050,val_port_0020
val,port_0051,val_port_0021
val,port_0052,val_port_0022
val,port_0053,val_port_0023
val,port_0054,val_port_0024
