old_split,old_stem,new_split,new_stem,cluster,has_json
train,train_port_0031,train,train_port_0001,0,1
train,train_port_0035,train,train_port_0002,0,1
train,train_port_0040,train,train_port_0003,0,0
train,train_port_0041,train,train_port_0004,0,1
train,train_port_0042,train,train_port_0005,0,0
train,train_port_0043,train,train_port_0006,0,0
train,train_port_0044,train,train_port_0007,0,1
val,val_port_0009,train,train_port_0008,0,1
val,val_port_0020,train,train_port_0009,0,1
train,train_port_0005,train,train_port_0010,1,1
train,train_port_0008,train,train_port_0011,1,1
train,train_port_0013,train,train_port_0012,1,1
train,train_port_0014,train,train_port_0013,1,1
train,train_port_0015,train,train_port_0014,1,1
train,train_port_0029,train,train_port_0015,1,0
train,train_port_0030,train,train_port_0016,1,0
train,train_port_0032,train,train_port_0017,1,0
train,train_port_0053,train,train_port_0018,1,0
train,train_port_0054,train,train_port_0019,1,0
train,train_port_0055,train,train_port_0020,1,0
val,val_port_0008,train,train_port_0021,1,1
val,val_port_0015,train,train_port_0022,1,1
train,train_port_0006,train,train_port_0023,2,1
train,train_port_0009,train,train_port_0024,2,1
train,train_port_0011,train,train_port_0025,2,1
train,train_port_0038,train,train_port_0026,2,0
train,train_port_0039,train,train_port_0027,2,0
train,train_port_0003,train,train_port_0028,3,1
train,train_port_0004,train,train_port_0029,3,1
train,train_port_0019,train,train_port_0030,3,1
train,train_port_0022,train,train_port_0031,3,1
train,train_port_0023,train,train_port_0032,3,0
train,train_port_0025,train,train_port_0033,3,1
train,train_port_0026,train,train_port_0034,3,1
train,train_port_0027,train,train_port_0035,3,0
val,val_port_0003,train,train_port_0036,3,1
val,val_port_0004,train,train_port_0037,3,1
val,val_port_0011,train,train_port_0038,3,1
val,val_port_0012,train,train_port_0039,3,1
train,train_port_0001,train,train_port_0040,4,1
train,train_port_0002,train,train_port_0041,4,1
train,train_port_0049,train,train_port_0042,4,0
train,train_port_0050,train,train_port_0043,4,0
train,train_port_0051,train,train_port_0044,4,0
val,val_port_0001,train,train_port_0045,4,1
val,val_port_0002,train,train_port_0046,4,1
val,val_port_0017,train,train_port_0047,4,1
val,val_port_0018,train,train_port_0048,4,1
val,val_port_0019,train,train_port_0049,4,1
val,val_port_0022,train,train_port_0050,4,0
val,val_port_0023,train,train_port_0051,4,1
train,train_port_0010,train,train_port_0052,5,1
train,train_port_0024,train,train_port_0053,5,0
train,train_port_0047,train,train_port_0054,5,0
val,val_port_0006,train,train_port_0055,5,1
train,train_port_0017,train,train_port_0056,6,1
train,train_port_0018,train,train_port_0057,6,1
train,train_port_0020,train,train_port_0058,6,1
train,train_port_0034,train,train_port_0059,6,0
train,train_port_0036,train,train_port_0060,6,0
train,train_port_0037,train,train_port_0061,6,0
val,val_port_0016,train,train_port_0062,6,1
val,val_port_0005,train,train_port_0063,7,1
train,train_port_0045,val,val_port_0001,0,0
train,train_port_0046,val,val_port_0002,0,0
train,train_port_0007,val,val_port_0003,1,1
train,train_port_0048,val,val_port_0004,1,1
val,val_port_0007,val,val_port_0005,1,1
val,val_port_0014,val,val_port_0006,1,1
train,train_port_0012,val,val_port_0007,2,1
train,train_port_0028,val,val_port_0008,3,0
val,val_port_0010,val,val_port_0009,3,1
val,val_port_0013,val,val_port_0010,3,1
train,train_port_0052,val,val_port_0011,4,0
val,val_port_0021,val,val_port_0012,4,1
val,val_port_0024,val,val_port_0013,4,0
train,train_port_0021,val,val_port_0014,5,1
train,train_port_0016,val,val_port_0015,6,1
train,train_port_0033,val,val_port_0016,6,0
